ANN_ACC,NUM_ACC,TYP_EPV,NUM_EPV,NPV,DAT_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,COD_AGG,LOC,COD_BOU,COD_CAR,COD_TYP_CAR_AGG,NUM_ROU,SUF_NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,LAR_ACO_DRO,POS_ACO_DRO,LAR_ACO_GAU,POS_ACO_GAU,COD_TOP,SIG_HOR,SIG_VER,NUM_ROU_COU,SUF_NUM_ROU_COU,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,COD_CAU_ACC,CIR_ACC
2013,36432,2,431.0,195.0,2013-02-20,13,10,1,1,2,1,2,104.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,15.0,1.0,4.0,,'12'
2013,38667,2,72.0,254.0,2013-03-08,18,14,1,2,2,2,2,150.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,14.0,1.0,14.0,,'21/5'
2013,66013,2,5.0,1001.0,2013-10-31,13,50,1,1,2,1,2,507.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,15.0,,,,'12'
2013,4007,1,1403.0,507.0,2013-04-20,16,6,1,1,2,1,1,,,,,,3305.0,'-',11.3,6.2,1.0,1.5,1.0,1.4,1.0,,1.0,2.0,,,,,,,13.0,9.0,13.0,,'8/21'
2013,55318,2,132.0,297.0,2013-07-11,1,16,1,1,1,1,2,168.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'3'
2013,60230,2,321.0,418.0,2013-08-21,13,26,1,1,2,1,2,298.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,14.0,3.0,,,'21/5/14'
2013,5473,1,7410.0,2254.0,2013-05-04,22,28,1,1,1,1,1,,,,,,1.0,'-',391.1,7,1.0,,,,,,,,,,,1.0,1.0,2.0,15.0,1.0,1.0,,'12/9/3'
2013,69985,2,9.0,997.0,2013-11-04,22,50,1,1,1,1,2,504.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,3.0,15.0,1.0,13.0,,'12'
2013,73970,2,5.0,1148.0,2013-12-17,9,50,1,1,2,1,2,507.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,15.0,,,,'12'
2013,4172,1,8113.0,338.0,2013-04-12,16,4,1,1,2,1,1,,,,,,304.0,'-',42.6,5.2,1.0,,,1.4,1.0,,2.0,2.0,,,,1.0,1.0,,15.0,4.0,1.0,,'9/3'
2013,32386,2,302.0,69.0,2013-01-31,14,30,1,1,2,1,2,340.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,'12'
2013,62416,2,42.0,710.0,2013-09-18,13,60,1,1,2,1,2,603.0,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'12'
2013,72753,2,431.0,1254.0,2013-11-08,14,10,1,1,2,1,2,104.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,15.0,,1.0,,'12'
2013,2946,1,7115.0,967.0,2013-03-26,10,51,1,1,2,1,1,,,,,,3313.0,'-',9999.99,10,1.0,,,,,,2.0,2.0,,,,1.0,1.0,,15.0,8.0,,,'12/9/3'
2013,74717,2,42.0,977.0,2013-12-11,23,60,1,1,1,1,2,603.0,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'12/4'
2013,76229,2,238.0,65.0,2013-12-03,13,23,1,1,2,1,2,249.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,14.0,1.0,6.0,,'14/5'
2013,11969,1,7214.0,2288.0,2013-08-10,16,10,1,1,2,1,2,101.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,2.0,,'12/9/3'
2013,48452,2,441.0,832.0,2013-05-02,10,10,1,1,2,1,2,101.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,'3/5'
2013,53111,2,11.0,278.0,2013-07-26,15,50,1,1,2,1,2,504.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,15.0,,,,'99'
2013,68337,2,266.0,1102.0,2013-10-01,20,36,1,1,1,1,2,391.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,14.0,1.0,1.0,,'3'
2013,9848,1,9201.0,3047.0,2013-07-22,15,27,1,1,2,1,1,,,,,,204.0,'-',11.7,7.1,1.0,1.5,1.0,1.5,1.0,,1.0,1.0,,,,1.0,1.0,3.0,15.0,8.0,1.0,,'8'
2013,11186,1,2100.0,1182.0,2013-08-20,12,16,1,1,2,1,1,,,,,,4237.0,'-',9999.99,2.6,1.0,2.7,1.0,3.9,1.0,,,,,,,,,8.0,15.0,8.0,11.0,,'21'
2013,16244,1,2208.0,2923.0,2013-10-05,19,16,1,1,1,1,1,,,,,,406.0,'-',33.8,7.3,1.0,4.0,1.0,4.0,1.0,,1.0,2.0,,,,1.0,1.0,8.0,14.0,3.0,16.0,,'3/5/14'
2013,49921,2,17.0,272.0,2013-06-26,15,50,1,1,2,1,2,506.0,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,15.0,,4.0,,'12'
2013,63774,2,141.0,197.0,2013-09-06,22,18,1,2,1,1,2,189.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'4'
2013,42419,2,71.0,144.0,2013-04-08,18,14,1,1,2,1,2,150.0,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,15.0,,,,'9/3'
2013,38361,2,45.0,156.0,2013-03-05,13,60,1,1,2,1,2,607.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,'14/21'
2013,39795,2,303.0,97.0,2013-03-30,11,30,1,1,2,1,2,340.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,'21/5'
2013,31235,2,45.0,61.0,2013-01-23,18,60,1,1,1,1,2,607.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,15.0,,,,'9'
2013,9360,1,4104.0,641.0,2013-07-09,22,14,2,1,1,1,1,,,,,,501.0,'-',4.5,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,4.0,1.0,1.0,,'21'
2013,55058,2,112.0,799.0,2013-07-14,15,22,1,1,2,1,2,242.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,18.0,1.0,18.0,,'16/2'
2013,12934,1,7414.0,3140.0,2013-09-01,21,28,1,1,1,1,1,,,,,,3607.0,'-',0.5,6.5,1.0,1.4,1.0,1.5,1.0,1.0,1.0,1.0,,,,1.0,1.0,,14.0,,,,'21/5'
2013,41539,2,4.0,335.0,2013-04-02,12,50,1,1,2,1,2,508.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'3'
2013,53616,2,15.0,370.0,2013-07-01,17,50,1,1,2,1,2,508.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,'12'
2013,32300,2,271.0,3.0,2013-01-07,21,40,1,1,1,1,2,421.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,3.0,15.0,1.0,8.0,,'8'
2013,49821,2,16.0,515.0,2013-06-12,11,50,1,1,2,1,2,506.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,15.0,,,,'99'
2013,39343,2,171.0,92.0,2013-03-07,15,18,1,1,2,1,2,195.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,14.0,,,,'3/14'
2013,19026,1,8110.0,2175.0,2013-12-08,18,4,1,1,1,1,1,,,,,,3111.0,'-',6.1,5.4,1.0,1.2,1.0,1.6,1.0,,2.0,2.0,,,,1.0,1.0,3.0,15.0,8.0,10.0,,'3'
2013,43086,2,132.0,152.0,2013-04-20,21,16,1,1,1,1,2,168.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,'9/3'
2013,70648,2,17.0,490.0,2013-11-21,20,50,1,1,1,1,2,506.0,2.0,,,,,,,,,,,,,,,,,,,,,7.0,14.0,,16.0,,'21/5'
2013,52376,2,131.0,682.0,2013-06-26,17,10,1,1,2,1,2,104.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,15.0,,,,'99'
2013,8954,1,8208.0,1355.0,2013-07-22,12,20,1,1,2,1,2,216.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'3'
2013,44536,2,565.0,,2013-04-16,20,28,1,1,1,1,2,320.0,2.0,,,,,,,,,,,,,,,,,,,,,7.0,15.0,3.0,2.0,,'12/14'
2013,70554,2,16.0,946.0,2013-11-03,18,50,1,1,1,1,2,506.0,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,2.0,,'12'
2013,11847,1,7201.0,3726.0,2013-08-01,20,10,1,1,1,1,1,,,,,,3427.0,'-',13.6,7,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,15.0,8.0,6.0,,'12/9'
2013,1234,1,3304.0,25.0,2013-01-04,15,36,1,1,2,1,1,,,,,,2.0,'-',9999.99,,,,,,,,,,,,,,,8.0,14.0,4.0,17.0,,'21/5'
2013,70433,2,4.0,1169.0,2013-11-22,15,50,1,1,2,1,2,508.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'9'
2013,69415,2,541.0,605.0,2013-10-27,15,20,1,1,2,1,2,217.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'9/3'
2013,34532,2,2.0,110.0,2013-02-13,23,50,1,1,1,1,2,506.0,1.0,,,,,,,,,,,,,,,,,,,,,8.0,15.0,,,,'3'
2013,48359,2,431.0,586.0,2013-05-28,22,10,1,1,1,1,2,104.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,'3'
2013,15544,1,4305.0,1641.0,2013-10-17,11,42,1,1,2,1,2,421.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,'21/5'
2013,71442,2,111.0,1303.0,2013-11-15,13,22,1,1,2,1,2,242.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,'12'
2013,44061,2,431.0,446.0,2013-04-25,19,10,1,1,1,1,2,104.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,15.0,,,,'12'
2013,4779,1,4108.0,1212.0,2013-04-21,10,42,1,1,2,1,1,,,,,,8.0,'-',701.0,8,1.0,1.2,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,7.0,15.0,1.0,7.0,,'12/9'
2013,52266,2,421.0,9999.0,2013-06-17,13,27,1,1,2,1,2,311.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,3.0,15.0,,,,'9/3'
2013,77561,2,671.0,755.0,2013-12-31,10,4,1,1,2,1,2,42.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,15.0,7.0,1.0,,'8'
2013,37741,2,4.0,254.0,2013-03-14,15,50,1,1,2,1,2,508.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,'99'
2013,69569,2,581.0,133.0,2013-10-30,10,13,1,1,2,1,2,138.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,14.0,1.0,6.0,,'3/5'
2013,8267,1,4502.0,1116.0,2013-06-23,12,3,1,1,2,1,1,,,,,,5209.0,'-',9999.99,15.8,1.0,,2.0,,2.0,1.0,2.0,2.0,,,,1.0,1.0,8.0,14.0,,1.0,,'3/5'
2013,7827,1,5111.0,1569.0,2013-06-12,23,23,1,1,1,1,1,,,,,,705.0,'-',16.0,5,1.0,1.0,1.0,2.0,1.0,,,,,,,,2.0,1.0,18.0,9.0,12.0,,'21'
2013,53162,2,9.0,606.0,2013-07-11,18,50,1,1,2,1,2,504.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,15.0,1.0,1.0,,'99'
2013,39176,2,114.0,,2013-03-03,12,48,1,1,2,1,2,238.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,16.0,,'3/5'
2013,45102,2,7.0,294.0,2013-05-13,19,50,1,1,1,1,2,514.0,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,15.0,4.0,1.0,,'99'
