ANN_ACC,NUM_ACC,NUM_ORD_PAS_VIC,NUM_ORD_VEH,COD_PLA_VEH,AGE,SEX,COD_PRF,COD_TUE,COD_BLE
2013,49921,1,2,2.0,21.0,1.0,6.0,0,2
2013,9848,1,2,2.0,23.0,1.0,6.0,0,2
2013,3723,1,1,2.0,28.0,1.0,9.0,0,2
2013,8966,1,1,,27.0,2.0,8.0,0,2
2013,48359,1,1,2.0,18.0,2.0,7.0,0,2
2013,45745,1,2,2.0,34.0,1.0,6.0,0,2
2013,47087,1,2,2.0,29.0,1.0,9.0,0,2
2013,47056,1,1,2.0,24.0,2.0,9.0,0,2
2013,45542,1,2,2.0,20.0,2.0,8.0,0,2
2013,48304,2,1,,15.0,2.0,7.0,0,2
2013,48304,1,1,2.0,19.0,1.0,7.0,0,2
2013,7266,2,1,2.0,28.0,1.0,6.0,0,2
2013,7266,1,1,2.0,50.0,2.0,8.0,0,2
2013,11969,1,1,2.0,32.0,2.0,8.0,0,2
2013,44061,1,1,2.0,21.0,1.0,7.0,0,2
2013,5065,5,1,8.0,5.0,2.0,7.0,0,2
2013,5065,4,1,8.0,19.0,1.0,6.0,0,2
2013,5065,3,1,7.0,39.0,2.0,8.0,0,1
2013,5065,2,1,9.0,75.0,2.0,8.0,1,0
2013,5065,1,1,2.0,29.0,1.0,6.0,0,2
2013,53067,9,1,,24.0,1.0,6.0,0,2
2013,53067,8,1,,36.0,2.0,6.0,0,2
2013,53067,7,1,,40.0,2.0,6.0,0,2
2013,53067,6,1,,24.0,1.0,6.0,0,2
2013,53067,5,1,,20.0,1.0,6.0,0,2
2013,53067,4,1,,23.0,1.0,6.0,0,2
2013,53067,3,1,,24.0,2.0,6.0,0,1
2013,53067,2,1,,24.0,2.0,6.0,0,2
2013,53067,1,1,,28.0,2.0,6.0,0,2
2013,11186,2,1,2.0,11.0,1.0,7.0,0,2
2013,11186,1,1,3.0,18.0,1.0,7.0,0,2
2013,38992,1,1,2.0,17.0,1.0,9.0,0,2
2013,37138,1,2,2.0,6.0,2.0,7.0,0,2
2013,32300,1,1,2.0,20.0,1.0,8.0,0,2
2013,1884,5,2,3.0,25.0,2.0,8.0,0,2
2013,1884,4,2,4.0,47.0,2.0,8.0,0,2
2013,1884,3,2,3.0,24.0,1.0,6.0,0,2
2013,1884,2,2,2.0,48.0,2.0,8.0,0,2
2013,1884,1,1,2.0,29.0,1.0,6.0,0,2
2013,5162,5,1,6.0,20.0,2.0,6.0,0,2
2013,5162,4,1,5.0,18.0,2.0,6.0,0,2
2013,5162,3,1,4.0,23.0,2.0,6.0,0,2
2013,5162,2,1,3.0,16.0,2.0,6.0,0,2
2013,5162,1,1,2.0,23.0,2.0,6.0,0,2
2013,606,6,2,2.0,46.0,2.0,9.0,0,2
2013,606,5,1,9.0,25.0,1.0,6.0,0,2
2013,606,4,1,4.0,22.0,1.0,6.0,0,2
2013,606,3,1,3.0,21.0,1.0,6.0,0,2
2013,606,2,1,2.0,30.0,1.0,6.0,0,2
2013,606,1,1,2.0,21.0,1.0,6.0,0,2
2013,42419,1,1,2.0,26.0,1.0,6.0,0,2
2013,41539,1,1,2.0,18.0,1.0,9.0,0,2
2013,30968,1,1,2.0,27.0,2.0,8.0,0,2
2013,31235,1,2,2.0,31.0,1.0,6.0,0,2
2013,30374,2,2,,23.0,2.0,4.0,0,2
2013,30374,1,1,,56.0,1.0,9.0,0,2
2013,77207,1,2,9.0,15.0,1.0,7.0,0,2
2013,74717,1,2,2.0,26.0,2.0,4.0,0,1
2013,67592,1,1,2.0,40.0,2.0,9.0,0,2
2013,12728,1,1,2.0,20.0,1.0,6.0,3,0
2013,73520,1,1,2.0,18.0,1.0,7.0,0,2
2013,73847,1,1,2.0,23.0,1.0,6.0,0,2
2013,19593,2,1,,10.0,2.0,8.0,0,2
2013,19593,1,1,,37.0,2.0,8.0,0,2
2013,16198,2,1,3.0,26.0,1.0,4.0,0,2
2013,16198,1,1,2.0,24.0,1.0,4.0,0,2
2013,19116,1,1,2.0,25.0,1.0,6.0,0,1
