ANN_ACC,NUM_ACC,NUM_ORD_PIE,AGE,SEX,COD_PRF,COD_TUE,COD_BLE,COD_FAC_PHY,COD_FAU_PIE
2013,70710,1,15.0,1.0,7.0,0,2,,1.0
2013,70676,1,83.0,1.0,8.0,0,2,4.0,3.0
2013,70648,1,36.0,2.0,8.0,0,2,,1.0
2013,69569,1,66.0,2.0,8.0,0,2,,1.0
2013,72170,1,10.0,1.0,7.0,0,1,,1.0
2013,76229,1,4.0,2.0,8.0,0,2,,5.0
2013,75158,1,11.0,2.0,7.0,0,2,,
2013,60230,1,8.0,2.0,7.0,0,2,,1.0
2013,62252,1,41.0,1.0,3.0,0,2,,
2013,8773,1,11.0,1.0,7.0,0,2,9.0,9.0
2013,53203,1,17.0,1.0,9.0,0,2,,
2013,8267,1,40.0,1.0,5.0,0,2,9.0,2.0
2013,39343,1,10.0,1.0,7.0,0,2,9.0,1.0
2013,40875,2,52.0,2.0,8.0,0,2,,
2013,40875,1,68.0,2.0,8.0,0,2,,
2013,4591,1,,,,1,0,9.0,1.0
2013,38992,1,59.0,1.0,9.0,0,2,9.0,9.0
2013,12934,1,18.0,1.0,9.0,0,1,9.0,9.0
2013,57847,2,1.0,2.0,,0,2,,
2013,57847,1,20.0,2.0,8.0,0,2,,
2013,38667,1,25.0,1.0,6.0,0,2,,1.0
2013,48452,1,20.0,1.0,9.0,0,2,9.0,9.0
2013,40333,2,17.0,2.0,7.0,0,2,,9.0
2013,40333,1,19.0,2.0,7.0,0,2,,9.0
2013,39176,1,16.0,1.0,7.0,0,2,,3.0
2013,43867,1,60.0,2.0,7.0,0,2,,1.0
2013,52863,1,83.0,1.0,8.0,0,2,9.0,9.0
2013,19211,1,16.0,1.0,8.0,1,0,9.0,3.0
2013,9295,1,9.0,1.0,9.0,0,1,9.0,9.0
2013,66741,1,22.0,1.0,8.0,0,2,,
2013,15544,1,96.0,1.0,2.0,0,2,9.0,9.0
2013,44454,1,62.0,1.0,8.0,0,2,,9.0
2013,50795,1,77.0,2.0,8.0,0,2,9.0,1.0
2013,50772,1,50.0,1.0,9.0,0,2,,
2013,49020,1,26.0,1.0,1.0,0,2,9.0,9.0
2013,16965,1,10.0,1.0,7.0,0,1,9.0,3.0
2013,16952,1,37.0,1.0,6.0,0,2,9.0,9.0
2013,39795,1,16.0,2.0,7.0,0,2,,
2013,14242,1,23.0,1.0,7.0,0,1,9.0,9.0
2013,35516,1,38.0,1.0,8.0,0,2,0.0,1.0
