ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
2013.0,GR,1.0,PROVINCE D  AGADIR,Revetue bonne,Sec,Nuit,Temps normal,AHMAR LAGLALCHA,hors intersection,Carrefour simple sans feux ou stop,Route a chaussee unique,Retrecissement de la chaussee,Sans ilot et sans signalisation,Plat,Partie rectiligne,Frontale,Vehicule en stationnement,Avant,Meme sens ou meme file
2014.0,DGSN,2.0,PROVINCE DE TAROUDANT,Revetue mauvaise,Mouille,Jour,Pluie,AIT IGUASSE,en intersection,Carrefour simple avec feux ou stop,Chaussee separee par terre-pleine,Pont ou radier,Sans ilot et avec signalisation,Pente,En courbe a gauche,Par l'arriere,Glissiere metallique,Avant droit,Entre 2 files
2015.0,,3.0,PROVINCE D  ALHOCEIMA,Revetue tres mauvaise,Enneige ou verglace,Non precise,Chute de neige,ASSAKI,en passage à niveau,Carrefour multiple sans feux ou stop,,Obstacle naturel reduisant la visibilite,Avec ilot et sans signalisation,Sommet de cote,En courbe a droite,Par le cote,Glissiere beton,Avant gauche,En marche arriere
2016.0,,4.0,PROVINCE D  AZILAL,Non revetue,Autres,,Brouillard,EL KOUDIA,,Carrefour multiple avec feux ou stop,,,Avec ilot et avec signalisation,,En S,En chaine,Autre glissiere,Arriere,A contresens
2017.0,,5.0,PROVINCE DE BENI MELLAL,Non precise,Non precise,,"Vent fort, tempete",ELHOUMER,,,,,Passage a  niveau non garde,,,Collisions multiples,"Batiment, mur ou pile de pont",Arriere-droit,En franchissant le terre-plein central
,,6.0,PROVINCE DE BEN SLIMANE,,,,Non precise,HANSALA,,,,,Passage a  niveau garde,,,Autres collisions,Support signalisation verticale,Arriere-gauche,En s'inserant
,,7.0,PROVINCE DE BOULEMANE,,,,,IDA OUGOMAD,,,,,,,,Sans collision,Poteau,Cote droit,En faisant demi-tour sur la chaussee
,,8.0,PROVINCE DE BOUJDOUR,,,,,IGHRI,,,,,,,,,Mobilier urbain,Cote gauche,A gauche
,,9.0,PROVINCE DE CHEFCHAOUEN,,,,,IGLI,,,,,,,,,Bordure de trottoir,Chocs multiples (tonneau),A droite
,,10.0,PROVINCE D  EL-JADIDA,,,,,LABAARIR ,,,,,,,,,"Fossee, talus ou paroi rocheuse",,A gauche
,,11.0,PROVINCE D  EL KALAA DES SRAGH,,,,,LAGFIFAT,,,,,,,,,Autre obstacle fixe sur chaussee,,A droite
,,12.0,PROVINCE D'ESSAOUIRA,,,,,LAKHNAFIF,,,,,,,,,Autre obstacle fixe sur trottoir/accot.,,A gauche
,,13.0,PROVINCE D'ERRACHIDIA,,,,,LAMNIZLA,,,,,,,,,Sortie de chaussee sans obstacle,,A droite
,,14.0,PROVINCE DE FES,,,,,MACHRAA EL AIN,,,,,,,,,Pieton,,A gauche
,,15.0,PROVINCE DE FIGUIG,,,,,NOUYAL,,,,,,,,,Vehicule,,A droite
,,16.0,PROVINCE DE KENITRA,,,,,OULAD AISSA,,,,,,,,,Animal,,Traversant la chaussee
,,17.0,PROVINCE DE SIDI KACEM,,,,,OULAD MHALLA,,,,,,,,,Vehicule sur rail,,Manoeuvre de stationnement
