ANN_ACC,NUM_ACC,NUM_ORD_VEH,COD_TYP_VEH,REM,ASS,COD_USA_VEH,COD_PAY_ORI,ANN_MIS_SCE,ANN_VIS_TEC,MOI_VIS_TEC,COD_DEF_MEC,AGE_CON,SEX_CON,COD_NAT_CON,COD_PRF_CON,CON_RES_MAR,COD_CAT_PER,ANN_DEL_PER,LIE_DEL_PER,VAL_PER,COD_TRA,COD_TUE,COD_BLE,POR_CAS,POR_CNT_SEC,COD_FAU_CON,COD_FAC_PHY,COD_FAU_NON_CON
2013,9360,1,3,1.0,1.0,0,0.0,2001.0,,1.0,9.0,23.0,1.0,0.0,2.0,1.0,1.0,2009.0,1.0,1.0,2.0,0,2,,1.0,9.0,9.0,9.0
2013,50795,2,1,,,9,,,,,,29.0,1.0,0.0,2.0,1.0,0.0,,,,0.0,0,0,,,9.0,9.0,9.0
2013,50795,1,3,2.0,1.0,0,0.0,,,,,23.0,1.0,0.0,2.0,1.0,1.0,,,,,0,0,,2.0,9.0,9.0,9.0
2013,50772,1,1,,,5,,,,,,,,,,,,,,,,0,0,,,,,
2013,49921,2,1,,1.0,0,0.0,,,,,23.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,2.0,,,,
2013,49921,1,1,,1.0,0,0.0,,,,,59.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,2.0,,9.0,,
2013,49821,3,3,2.0,1.0,0,0.0,,,,,51.0,1.0,0.0,9.0,1.0,1.0,1989.0,1.0,1.0,9.0,0,2,,1.0,,,
2013,49821,2,3,2.0,1.0,0,,,2013.0,10.0,,44.0,1.0,0.0,9.0,1.0,1.0,1992.0,1.0,1.0,9.0,0,0,,2.0,,,
2013,49821,1,7,1.0,1.0,3,0.0,,2013.0,,,52.0,1.0,0.0,9.0,1.0,2.0,1981.0,1.0,1.0,0.0,0,0,,2.0,,,
2013,9848,2,1,2.0,1.0,2,0.0,2013.0,,,,19.0,1.0,0.0,6.0,1.0,,,,,3.0,0,0,1.0,,9.0,9.0,9.0
2013,9848,1,3,1.0,1.0,4,0.0,2010.0,,,,31.0,1.0,0.0,1.0,1.0,4.0,2006.0,1.0,1.0,3.0,0,0,,,2.0,9.0,9.0
2013,3725,2,0,2.0,,0,1.0,,,,,15.0,1.0,0.0,8.0,1.0,,,,,9.0,0,2,,,9.0,9.0,9.0
2013,3725,1,3,2.0,1.0,0,1.0,2011.0,,,,51.0,1.0,0.0,5.0,1.0,1.0,1987.0,1.0,1.0,3.0,0,0,,1.0,9.0,9.0,9.0
2013,3723,1,3,2.0,1.0,0,0.0,1999.0,,,,52.0,1.0,0.0,6.0,1.0,1.0,2004.0,2.0,1.0,3.0,0,2,,1.0,9.0,9.0,9.0
2013,8966,3,3,2.0,1.0,0,5.0,2004.0,,4.0,9.0,35.0,1.0,0.0,9.0,2.0,1.0,2005.0,2.0,1.0,4.0,0,0,,1.0,9.0,9.0,9.0
2013,8966,2,3,2.0,1.0,0,0.0,2004.0,,4.0,9.0,49.0,1.0,0.0,1.0,1.0,1.0,1994.0,1.0,1.0,4.0,0,0,,1.0,2.0,9.0,9.0
2013,8966,1,5,2.0,1.0,1,0.0,2004.0,,8.0,9.0,45.0,1.0,0.0,9.0,1.0,3.0,1991.0,1.0,1.0,3.0,0,0,,2.0,2.0,9.0,9.0
2013,8954,2,1,2.0,1.0,0,0.0,1994.0,,,9.0,43.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,1.0,,3.0,9.0,9.0
2013,8954,1,1,2.0,1.0,0,0.0,,,,9.0,43.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,1.0,,1.0,9.0,9.0
2013,49020,1,1,2.0,1.0,9,0.0,,,,9.0,22.0,1.0,0.0,9.0,1.0,,,,,9.0,0,2,,,,,
2013,37658,2,3,2.0,1.0,0,0.0,,2013.0,4.0,9.0,33.0,1.0,0.0,6.0,1.0,1.0,2009.0,1.0,1.0,9.0,0,0,,,9.0,9.0,9.0
2013,37658,1,1,2.0,1.0,0,0.0,,,,9.0,39.0,1.0,0.0,6.0,1.0,,,,,,0,2,,,,,
2013,8773,1,3,2.0,1.0,9,0.0,2009.0,2012.0,12.0,9.0,30.0,1.0,0.0,2.0,1.0,1.0,2008.0,1.0,1.0,9.0,0,0,,,9.0,9.0,9.0
2013,8267,1,1,2.0,1.0,3,0.0,2013.0,,,,41.0,1.0,0.0,9.0,1.0,0.0,1993.0,1.0,1.0,3.0,0,0,2.0,,9.0,9.0,9.0
2013,47056,2,3,2.0,1.0,9,0.0,2010.0,,,,47.0,1.0,0.0,9.0,1.0,1.0,1996.0,1.0,1.0,9.0,0,0,,1.0,9.0,9.0,9.0
2013,48452,1,1,2.0,1.0,0,0.0,2010.0,,,,,1.0,0.0,9.0,1.0,,,,,,0,2,,,,,
2013,48359,2,1,2.0,1.0,0,0.0,,,,,23.0,1.0,0.0,7.0,1.0,,,,,,0,2,1.0,,,,
2013,48359,1,3,2.0,1.0,9,0.0,,,,,,,,,,,,,,,0,0,,,,,
2013,45745,2,1,2.0,1.0,0,,,,,,40.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,,,9.0,,
2013,45745,1,1,2.0,1.0,0,,,,,,35.0,1.0,0.0,6.0,1.0,,,,,0.0,0,2,,,3.0,,
2013,47087,2,1,2.0,1.0,9,0.0,2007.0,,,,20.0,1.0,0.0,9.0,1.0,,,,,9.0,0,2,1.0,,9.0,9.0,9.0
2013,47087,1,0,,,0,,,,,,23.0,1.0,0.0,6.0,1.0,,,,,9.0,0,0,,,9.0,9.0,9.0
2013,47056,1,1,2.0,1.0,9,0.0,,,,,29.0,1.0,0.0,9.0,1.0,,,,,9.0,0,0,1.0,,9.0,9.0,9.0
2013,45542,2,1,2.0,1.0,0,,,,,,33.0,1.0,0.0,9.0,1.0,,,,,9.0,0,2,2.0,,,,
2013,45542,1,3,2.0,1.0,0,,,,,,49.0,1.0,0.0,2.0,1.0,1.0,1989.0,1.0,1.0,9.0,0,0,,2.0,9.0,,
2013,44258,2,6,,1.0,2,0.0,,,,,,1.0,0.0,9.0,1.0,1.0,,1.0,1.0,9.0,0,2,,2.0,1.0,,
2013,44258,1,3,,1.0,9,0.0,,,,,,1.0,0.0,9.0,1.0,1.0,,1.0,1.0,9.0,0,0,,1.0,,,
2013,48304,2,1,2.0,1.0,4,0.0,,,,,15.0,2.0,0.0,7.0,1.0,,,,,2.0,0,2,1.0,,,,
2013,48304,1,1,2.0,1.0,4,0.0,,,,,17.0,1.0,0.0,7.0,1.0,,,,,,0,2,,,,,
